participant_id,perturbation_id,type,repetition,duration_responses,pre_responses_in_block,recovery_responses,recovery_bins,rewards_during
sim-participant-011,pert_08_extinction,extinction,4,8,127,65,6,0
sim-participant-012,pert_01_contingency_reversal,contingency_reversal,1,8,55,137,13,1
sim-participant-012,pert_02_contingency_reversal,contingency_reversal,2,8,57,135,13,1
sim-participant-012,pert_03_extinction,extinction,1,8,28,164,16,0
sim-participant-012,pert_04_extinction,extinction,2,8,53,139,13,0
sim-participant-012,pert_05_extinction,extinction,3,8,155,37,3,0
sim-participant-012,pert_06_contingency_reversal,contingency_reversal,3,8,144,48,4,3
sim-participant-012,pert_07_contingency_reversal,contingency_reversal,4,8,136,56,5,4
sim-participant-012,pert_08_extinction,extinction,4,8,154,38,3,0
sim-participant-013,pert_01_extinction,extinction,1,8,31,161,16,0
sim-participant-013,pert_02_contingency_reversal,contingency_reversal,1,8,37,155,15,1
sim-participant-013,pert_03_contingency_reversal,contingency_reversal,2,8,31,161,16,4
sim-participant-013,pert_04_extinction,extinction,2,8,33,159,15,0
sim-participant-013,pert_05_extinction,extinction,3,8,132,60,6,0
sim-participant-013,pert_06_extinction,extinction,4,8,145,47,4,0
sim-participant-013,pert_07_contingency_reversal,contingency_reversal,3,8,140,52,5,2
sim-participant-013,pert_08_contingency_reversal,contingency_reversal,4,8,125,67,6,1
sim-participant-014,pert_01_contingency_reversal,contingency_reversal,1,8,60,132,13,1
sim-participant-014,pert_02_contingency_reversal,contingency_reversal,2,8,37,155,15,1
sim-participant-014,pert_03_extinction,extinction,1,8,44,148,14,0
sim-participant-014,pert_04_contingency_reversal,contingency_reversal,3,8,59,133,13,2
sim-participant-014,pert_05_extinction,extinction,2,8,158,34,3,0
sim-participant-014,pert_06_extinction,extinction,3,8,157,35,3,0
sim-participant-014,pert_07_extinction,extinction,4,8,156,36,3,0
sim-participant-014,pert_08_contingency_reversal,contingency_reversal,4,8,130,62,6,2
sim-participant-015,pert_01_contingency_reversal,contingency_reversal,1,8,44,148,14,3
sim-participant-015,pert_02_contingency_reversal,contingency_reversal,2,8,44,148,14,2
sim-participant-015,pert_03_extinction,extinction,1,8,47,145,14,0
sim-participant-015,pert_04_extinction,extinction,2,8,33,159,15,0
sim-participant-015,pert_05_extinction,extinction,3,8,140,52,5,0
sim-participant-015,pert_06_contingency_reversal,contingency_reversal,3,8,140,52,5,2
sim-participant-015,pert_07_extinction,extinction,4,8,145,47,4,0
sim-participant-015,pert_08_contingency_reversal,contingency_reversal,4,8,143,49,4,1
sim-participant-016,pert_01_contingency_reversal,contingency_reversal,1,8,38,154,15,1
sim-participant-016,pert_02_extinction,extinction,1,8,36,156,15,0
sim-participant-016,pert_03_contingency_reversal,contingency_reversal,2,8,43,149,14,1
sim-participant-016,pert_04_contingency_reversal,contingency_reversal,3,8,34,158,15,1
sim-participant-016,pert_05_extinction,extinction,2,8,131,61,6,0
sim-participant-016,pert_06_contingency_reversal,contingency_reversal,4,8,128,64,6,1
sim-participant-016,pert_07_extinction,extinction,3,8,152,40,4,0
sim-participant-016,pert_08_extinction,extinction,4,8,154,38,3,0
sim-participant-017,pert_01_extinction,extinction,1,8,35,157,15,0
sim-participant-017,pert_02_extinction,extinction,2,8,48,144,14,0
sim-participant-017,pert_03_contingency_reversal,contingency_reversal,1,8,40,152,15,1
sim-participant-017,pert_04_extinction,extinction,3,8,34,158,15,0
sim-participant-017,pert_05_contingency_reversal,contingency_reversal,2,8,158,34,3,0
sim-participant-017,pert_06_contingency_reversal,contingency_reversal,3,8,130,62,6,1
sim-participant-017,pert_07_extinction,extinction,4,8,146,46,4,0
sim-participant-017,pert_08_contingency_reversal,contingency_reversal,4,8,130,62,6,1
sim-participant-018,pert_01_contingency_reversal,contingency_reversal,1,8,53,139,13,1
sim-participant-018,pert_02_contingency_reversal,contingency_reversal,2,8,25,167,16,2
sim-participant-018,pert_03_extinction,extinction,1,8,48,144,14,0
sim-participant-018,pert_04_contingency_reversal,contingency_reversal,3,8,25,167,16,0
sim-participant-018,pert_05_extinction,extinction,2,8,161,31,3,0
sim-participant-018,pert_06_extinction,extinction,3,8,142,50,5,0
sim-participant-018,pert_07_contingency_reversal,contingency_reversal,4,8,135,57,5,0
sim-participant-018,pert_08_extinction,extinction,4,8,131,61,6,0
sim-participant-019,pert_01_extinction,extinction,1,8,58,134,13,0
sim-participant-019,pert_02_extinction,extinction,2,8,59,133,13,0
sim-participant-019,pert_03_contingency_reversal,contingency_reversal,1,8,39,153,15,1
sim-participant-019,pert_04_extinction,extinction,3,8,47,145,14,0
sim-participant-019,pert_05_contingency_reversal,contingency_reversal,2,8,149,43,4,0
sim-participant-019,pert_06_extinction,extinction,4,8,139,53,5,0
sim-participant-019,pert_07_contingency_reversal,contingency_reversal,3,8,134,58,5,0
sim-participant-019,pert_08_contingency_reversal,contingency_reversal,4,8,140,52,5,2
sim-participant-020,pert_01_extinction,extinction,1,8,28,164,16,0
sim-participant-020,pert_02_extinction,extinction,2,8,43,149,14,0
sim-participant-020,pert_03_extinction,extinction,3,8,59,133,13,0
sim-participant-020,pert_04_contingency_reversal,contingency_reversal,1,8,35,157,15,1
sim-participant-020,pert_05_contingency_reversal,contingency_reversal,2,8,154,38,3,1
sim-participant-020,pert_06_extinction,extinction,4,8,142,50,5,0
sim-participant-020,pert_07_contingency_reversal,contingency_reversal,3,8,139,53,5,2
sim-participant-020,pert_08_contingency_reversal,contingency_reversal,4,8,154,38,3,1
